"Rank","Country","Crime Index"
"1","Venezuela","83.58"
"2","Papua New Guinea","81.19"
"3","Afghanistan","77.01"
"4","South Africa","76.06"
"5","Honduras","74.16"
"6","Trinidad And Tobago","71.39"
"7","Guyana","68.93"
"8","El Salvador","68.65"
"9","Jamaica","67.84"
"10","Syria","67.48"
"11","Peru","67.10"
"12","Brazil","67.01"
"13","Cameroon","66.59"
"14","Angola","66.39"
"15","Namibia","64.70"
"16","Argentina","64.14"
"17","Nigeria","63.84"
"18","Bangladesh","63.45"
"19","Mozambique","62.80"
"20","Bahamas","62.48"
"21","Puerto Rico","62.20"
"22","Us Virgin Islands","60.94"
"23","Dominican Republic","60.94"
"24","Libya","60.28"
"25","North Korea","60.28"
"26","Zimbabwe","59.67"
"27","Belarus","58.41"
"28","Bolivia","58.28"
"29","Guatemala","58.26"
"30","Somalia","57.95"
"31","Colombia","57.71"
"32","Ecuador","57.24"
"33","Kyrgyzstan","56.59"
"34","Tanzania","56.30"
"35","Uganda","56.24"
"36","Kenya","56.21"
"37","Malaysia","55.71"
"38","Fiji","55.63"
"39","Maldives","54.72"
"40","Chile","53.98"
"41","Costa Rica","53.86"
"42","Algeria","53.82"
"43","Mongolia","53.73"
"44","Mexico","53.68"
"45","Kazakhstan","53.45"
"46","France","52.41"
"47","Botswana","52.37"
"48","Belize","51.51"
"49","Uruguay","51.44"
"50","Cambodia","50.74"
"51","Ethiopia","50.09"
"52","Paraguay","49.20"
"53","Iran","49.11"
"54","Morocco","49.07"
"55","Sweden","49.00"
"56","Mauritius","48.90"
"57","United States","48.16"
"58","Nicaragua","47.89"
"59","Moldova","47.44"
"60","Greece","47.41"
"61","Iraq","46.95"
"62","Ukraine","46.94"
"63","Lebanon","46.87"
"64","Ghana","46.81"
"65","Egypt","46.57"
"66","Barbados","46.57"
"67","Myanmar","46.51"
"68","United Kingdom","46.47"
"69","Zambia","46.28"
"70","Indonesia","46.12"
"71","Albania","46.08"
"72","Vietnam","45.81"
"73","Ireland","45.48"
"74","Belgium","45.38"
"75","Italy","45.20"
"76","India","44.63"
"77","Sudan","44.57"
"78","Tunisia","44.29"
"79","Panama","43.92"
"80","Australia","43.85"
"81","New Zealand","43.30"
"82","Palestine","43.23"
"83","Canada","42.95"
"84","Philippines","42.33"
"85","Kosovo (Disputed Territory)","42.29"
"86","Bosnia And Herzegovina","42.23"
"87","Pakistan","42.01"
"88","Sri Lanka","41.21"
"89","Montenegro","41.10"
"90","North Macedonia","40.87"
"91","Malta","40.82"
"92","Jordan","40.24"
"93","Turkey","39.69"
"94","Russia","39.62"
"95","Thailand","39.31"
"96","Bulgaria","38.74"
"97","Latvia","38.65"
"98","Serbia","38.29"
"99","Nepal","37.54"
"100","Germany","36.37"
"101","Luxembourg","35.71"
"102","Hungary","34.29"
"103","Spain","33.87"
"104","Norway","33.85"
"105","Uzbekistan","33.76"
"106","Kuwait","33.41"
"107","Lithuania","33.28"
"108","Azerbaijan","32.25"
"109","Israel","32.12"
"110","Cyprus","32.12"
"111","Cuba","30.94"
"112","Portugal","30.58"
"113","Slovakia","30.18"
"114","Poland","29.79"
"115","China","29.39"
"116","Brunei","29.00"
"117","Romania","28.79"
"118","Netherlands","27.88"
"119","Singapore","27.64"
"120","Finland","27.25"
"121","Denmark","26.56"
"122","South Korea","26.49"
"123","Austria","26.08"
"124","Czech Republic","25.54"
"125","Monaco","25.08"
"126","Saudi Arabia","24.72"
"127","Bahrain","24.41"
"128","Rwanda","24.35"
"129","Georgia","24.30"
"130","Croatia","24.13"
"131","Estonia","23.82"
"132","Iceland","23.53"
"133","Slovenia","22.65"
"134","Armenia","22.13"
"135","Japan","22.12"
"136","Hong Kong","21.92"
"137","Switzerland","21.68"
"138","Oman","19.99"
"139","Isle Of Man","18.63"
"140","Taiwan","15.87"
"141","United Arab Emirates","15.14"
"142","Qatar","13.78"
