Institution,Location,URL,Cluster,Total_score,Archaeology,Architecture,Art & Design,Classics,English Language,History,Linguistics,Modern Languages,Performing Arts,Philosophy,Theology,Computer Science,Engineering - Chemical,Engineering - Civil,Engineering - Electrical,Engineering - Mechanical,Engineering - Mineral,Engineering - Petroleum,Agriculture,Anatomy,Biological,Dentistry,Medicine,Nursing,Pharmacy,Psychology,Veterinary Science,Chemistry,Earth & Marine Sciences,Environmental Sciences,Geography,Geology,Geophysics,Materials Science,Mathematics,Physics,Accounting,Anthropology,Business,Communication,Development Studies,Economics & Econometrics,Education,Hospitality,Law,Library,Politics,Social Policy,Sociology,Sports-related Subjects,Statistics,COVID Risk,Cost of Living,Safety,Travel Restrictions
 University of Dundee,United Kingdom,https://www.topuniversities.com/universities/university-dundee,2,32.9,,,60.16,,,,,,,,,,,,,,,,,,75.0,,69.44,72.52000000000001,80.0,,,,,63.0,,,,,,,,,,,,,62.85,,58.66,,,,,,,High,High,Medium,Low
Aberystwyth University,United Kingdom,https://www.topuniversities.com/universities/aberystwyth-university,2,,,,,,54.68000000000001,,,,,,,,,,,,,,62.50000000000001,,,,,,,,,,70.63,,68.36000000000001,72.42999999999999,71.16999999999999,,,,,,,,,,,,,,63.94,,,,,High,High,Medium,Low
Aston University,United Kingdom,https://www.topuniversities.com/universities/aston-university,2,24.5,,,,,,,59.425,60.72999999999999,,,,51.905,58.765,,55.790000000000006,53.545,,,,,52.85,,,,,67.32000000000001,,,,,,,,,,55.760000000000005,63.5,,70.6,,,56.66,,,,,,,,,,High,High,Medium,Low
Bangor University,United Kingdom,https://www.topuniversities.com/universities/bangor-university,2,,,,,,,,,,,,,,,,,,,,62.5,,,,48.935,,,61.98,,,,67.51,,,,,,,,,,,,,,,,,,,,,,High,High,Medium,Low
"Birkbeck, University of London",United Kingdom,https://www.topuniversities.com/universities/birkbeck-university-london,2,32.3,,,,,70.76,65.45,58.22500000000001,,,66.15,,,,,,,,,,,,,,,,67.52,,,,,,,,,,,,,,67.97,,,,,,,,,57.275000000000006,,,High,High,Medium,Low
Birmingham City University ,United Kingdom,https://www.topuniversities.com/universities/birmingham-city-university,2,,,,51.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,Medium,Low
Bournemouth University,United Kingdom,https://www.topuniversities.com/universities/bournemouth-university,2,,53.22,,,,,,,,,,,,,,,,,,,,,,46.07,,,,,,,,,,,,,,,,,68.49000000000001,,,,64.9,,,,,,,,High,High,Medium,Low
Brunel University London,United Kingdom,https://www.topuniversities.com/universities/brunel-university-london,2,31.3,,,60.84,,,,,,,,,58.01500000000001,59.005,,61.11999999999999,65.855,,58.005,,,,,,,,,,,,63.995,,,,61.73,,,57.11,,,,,56.9,56.42,,,,,,,70.245,,High,High,Medium,Low
Cardiff University,United Kingdom,https://www.topuniversities.com/universities/cardiff-university,2,50.4,67.05,73.07,,,74.2,63.065,62.93000000000001,65.77,,,,57.445,,71.255,65.865,66.25999999999999,,,,71.28,71.155,64.12,73.0,77.25999999999999,78.5,78.1,,68.54,74.61500000000001,73.85499999999999,75.66000000000001,75.63,75.05,,60.00000000000001,67.72,67.98,,68.2,83.7,,60.02,65.69,,64.485,,61.470000000000006,72.28,68.02499999999999,,67.7,High,High,Medium,Low
"City, University of London",United Kingdom,https://www.topuniversities.com/universities/city-university-london,2,32.4,,,,,,,,,,,,53.52,,,,57.345,,,,,,,,70.55999999999999,,68.66000000000001,,,,,,,,,56.32,,74.2,,74.9,77.06,,66.28,,,59.400000000000006,64.4,,,61.905,,64.75,High,High,Medium,Low
Coventry University,United Kingdom,https://www.topuniversities.com/universities/coventry-university,2,,,,,,,,,,,,,46.805,,,,56.76,,48.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,Medium,Low
De Montfort University,United Kingdom,https://www.topuniversities.com/universities/de-montfort-university,2,,,,,,,,,,,,,50.435,,,,,,,,,,,,,61.385000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,Medium,Low
Durham University,United Kingdom,https://www.topuniversities.com/universities/durham-university,2,65.2,89.49,,,83.4,79.2,79.5,58.43000000000001,77.1,,73.1,88.5,56.565000000000005,,,59.135,61.835,,,,,62.875,,,,,75.2,,70.8,83.2,74.04499999999999,86.3,83.9,83.3,,65.54,78.1,72.4,80.9,69.9,,,64.52000000000001,70.5,,75.4,,69.41,,69.215,73.17499999999998,,High,High,Medium,Low
Edinburgh Napier University,United Kingdom,https://www.topuniversities.com/universities/edinburgh-napier-university,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.645,,,,,,,,High,High,Medium,Low
"Essex, University of",United Kingdom,https://www.topuniversities.com/universities/essex-university,2,26.5,,,,,58.28,,65.095,,,58.99499999999999,,54.93999999999999,,,,,,,,,52.965,,46.815,,,62.12,,,,,,,,,,,65.53,,,,,65.84,,,61.45,,74.2,,74.8,,,High,High,Medium,Low
"Goldsmiths, University of London",United Kingdom,https://www.topuniversities.com/universities/goldsmiths-university-london,2,25.4,,,74.5,,71.9,,,,69.08000000000001,,,47.83,,,,,,,,,,,,,,70.12,,,,,,,,,,,,76.4,,86.3,,,59.21,,,,,,77.2,,,High,High,Medium,Low
Harper Adams University,United Kingdom,https://www.topuniversities.com/universities/harper-adams-university,2,,,,,,,,,,,,,,,,,,,,58.940000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,Medium,Low
Heriot-Watt University,United Kingdom,https://www.topuniversities.com/universities/heriot-watt-university,2,36.7,,,,,,,58.515,,,,,54.395,69.88499999999999,66.76,67.105,65.575,,78.3,48.88,,56.44,,,,,,,56.52,,68.02000000000001,,,,62.505,68.04,61.440000000000005,59.870000000000005,,,,,58.400000000000006,,,,,,,,,,High,High,Medium,Low
Imperial College London,United Kingdom,https://www.topuniversities.com/universities/imperial-college-london,2,97.3,,,63.95,,,,,,,,,82.2,90.6,91.2,90.2,90.2,,84.3,,81.9,87.0,,89.6,,83.3,,,88.0,87.4,92.1,,86.5,84.9,88.3,88.1,88.6,82.2,,81.0,,68.125,76.9,,,,,,72.92999999999999,,,90.8,High,High,Medium,Low
Keele University ,United Kingdom,https://www.topuniversities.com/universities/keele-university,2,,,,,,,,,,,,,,,,,,,,,,,,61.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,Medium,Low
King's College London,United Kingdom,https://www.topuniversities.com/universities/kings-college-london,2,82.0,65.76999999999998,,,83.6,85.7,84.3,66.85000000000001,82.1,69.78,84.6,75.7,72.4,,,73.4,67.02,,,,87.1,80.0,80.6,87.6,94.7,84.6,85.0,,73.4,72.625,78.69500000000001,83.0,73.83,72.24,70.745,75.4,76.6,,,70.8,82.8,69.5,66.9,78.1,,83.7,,84.1,79.6,78.3,,,High,High,Medium,Low
"Kingston University, London",United Kingdom,https://www.topuniversities.com/universities/kingston-university-london,2,,,,59.95,,58.040000000000006,,,,,,,49.605,,,,53.445,,,,,,,,,,,,,,,,,,,,,,,,,,56.81999999999999,62.57,,,,,,,,,High,High,Medium,Low
Lancaster University,United Kingdom,https://www.topuniversities.com/universities/lancaster-university,2,54.0,,,62.45,,76.9,60.545,86.0,74.5,,,,65.5,,,63.88,58.64,,,,,58.945,,59.57000000000001,,,72.46000000000001,,,72.84,80.7,73.60000000000001,74.4,74.08,,65.16000000000001,62.48,74.3,,73.7,73.59,,61.92,68.4,,,,,,73.5,,78.49,High,High,Medium,Low
Leeds Beckett University,United Kingdom,https://www.topuniversities.com/universities/leeds-beckett-university,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.9,,,,,,72.555,,High,High,Medium,Low
Liverpool John Moores University,United Kingdom,https://www.topuniversities.com/universities/liverpool-john-moores-university,2,,,,,,,,,,,,,,,,,,,,,73.07499999999999,,,,,60.925,,,,,,,,,,,52.68000000000001,,,,,,,56.510000000000005,,,,,,,85.1,,High,High,Medium,Low
Loughborough University,United Kingdom,https://www.topuniversities.com/universities/loughborough-university,2,40.1,,64.8,71.0,,57.52000000000001,,,,,,,57.515,69.13499999999999,70.33,65.20000000000002,76.6,,,,,,,,,,73.76,,58.12,,68.02000000000001,67.255,,,70.495,62.80000000000001,55.70000000000001,63.55,,68.5,78.0,,59.260000000000005,62.68,45.29,,72.5,,,64.605,96.8,,High,High,Medium,Low
Manchester Metropolitan University (MMU),United Kingdom,https://www.topuniversities.com/universities/manchester-metropolitan-university-mmu,2,,,,59.24,,60.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,51.245,,59.44,,,57.09,69.85499999999999,,High,High,Medium,Low
Middlesex University,United Kingdom,https://www.topuniversities.com/universities/middlesex-university,2,,,,,,,,,,,,,48.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.28,,45.645,,,,,,,,High,High,Medium,Low
Newcastle University,United Kingdom,https://www.topuniversities.com/universities/newcastle-university,2,53.8,72.0,72.39999999999999,55.870000000000005,,71.7,63.11,65.96500000000002,67.61,,,,61.83,70.29499999999999,74.80499999999999,67.64,66.96499999999999,,,64.28,71.465,73.2,64.14,77.5,,74.315,72.86000000000001,,66.8,75.965,78.245,80.1,77.66,76.93,65.73,62.220000000000006,60.5,66.25999999999999,,66.05000000000001,70.9,65.645,63.760000000000005,70.4,,61.465,,65.82000000000001,,64.74499999999999,,70.29,High,High,Medium,Low
Northumbria University at Newcastle,United Kingdom,https://www.topuniversities.com/universities/northumbria-university-newcastle,2,,,,56.96,,,,,,,,,54.105,,,54.41,56.05499999999999,,,,,,,53.69,,,,,,,,,,,,,,,,,,,51.760000000000005,,,59.725,,,,,,,High,High,Medium,Low
Nottingham Trent University,United Kingdom,https://www.topuniversities.com/universities/nottingham-trent-university,2,,,,63.23,,,,,,,,,,,,,,,,,,,,,,,69.60000000000001,,,,,,,,,,,,,,64.69,,51.58,57.92,,57.94,,,,,,,High,High,Medium,Low
Oxford Brookes University,United Kingdom,https://www.topuniversities.com/universities/oxford-brookes-university,2,26.9,,68.88,,,60.55,,,61.78,,,,53.09,,,,55.245,,,,,55.535,,,69.35,,,,,,,,,,,,,66.72999999999999,,71.6,,,60.0,64.81,63.7,59.065000000000005,,60.040000000000006,,54.085,65.42,,High,High,Medium,Low
Queen Mary University of London,United Kingdom,https://www.topuniversities.com/universities/queen-mary-university-london,2,56.7,,,,,79.0,74.475,73.7,73.3,71.03999999999999,,,65.8,59.685,,69.3,63.42,,,,,70.965,75.0,77.9,,,64.66000000000001,,64.14,,68.53,74.2,,,71.19500000000001,69.6,70.14000000000001,61.92,,,69.23,,69.7,,,80.3,,72.75,,,,64.75,High,High,Medium,Low
Queen's University Belfast,United Kingdom,https://www.topuniversities.com/universities/queens-university-belfast,2,41.8,66.93,53.63,,,70.96000000000001,63.64,,60.98,63.52000000000001,,,59.06,67.23,64.845,68.31,63.925,,,57.45,,64.605,,67.665,75.19999999999999,78.5,66.94,,64.16,,70.16,65.17,,,,56.220000000000006,66.19999999999999,59.99,,,,,54.74,62.2,,68.94999999999999,,61.75,69.55,58.385000000000005,,,High,High,Medium,Low
Royal Holloway University of London,United Kingdom,https://www.topuniversities.com/universities/royal-holloway-university-london,2,32.2,58.67,,,,68.61,62.72,,59.0,79.3,,,51.475,,,,,,54.575,,,,,,,,67.78000000000002,,,72.185,,,,,,,54.82,,,,67.47,,56.900000000000006,,,,,60.47,,,,,High,High,Medium,Low
SOAS University of London ,United Kingdom,https://www.topuniversities.com/universities/soas-university-london,2,28.5,59.6,,,,73.4,75.36499999999998,71.1,74.5,,,68.66,,,,,,,,,,,,,,,,,,,,81.2,,,,,,,87.4,,70.03999999999999,92.3,60.3,,,65.17500000000001,,82.2,,71.4,,,High,High,Medium,Low
Sheffield Hallam University,United Kingdom,https://www.topuniversities.com/universities/sheffield-hallam-university,2,,,,57.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.02,51.470000000000006,,,,,,,,High,High,Medium,Low
Swansea University,United Kingdom,https://www.topuniversities.com/universities/swansea-university,2,26.3,,,,,67.08,,,60.94,,,,58.19,64.92,,55.05499999999999,72.4,,,,,62.150000000000006,,65.42,,61.71000000000001,64.76,,60.76,,70.685,,,,73.525,63.080000000000005,64.20000000000002,,,64.50999999999999,,,52.900000000000006,,,63.505,,,,,69.42999999999999,,High,High,Medium,Low
