"","location","idx_cluster","covid_cluster","combined_cluster"
"Argentina","Argentina","1","1",1
"Australia","Australia","2","2",2
"Austria","Austria","3","3",3
"Bahrain","Bahrain","3","3",3
"Bangladesh","Bangladesh","1","2",4
"Belarus","Belarus","1","4",5
"Belgium","Belgium","2","3",2
"Brazil","Brazil","1","1",1
"Bulgaria","Bulgaria","4","5",6
"Canada","Canada","2","1",2
"Chile","Chile","4","1",7
"China","China","5","2",8
"Colombia","Colombia","1","1",1
"Costa Rica","Costa Rica","4","1",7
"Croatia","Croatia","5","5",6
"Czechia","Czechia","5","6",9
"Cyprus","Cyprus","5","3",10
"Denmark","Denmark","3","3",3
"Ecuador","Ecuador","1","2",4
"Egypt","Egypt","4","4",11
"Estonia","Estonia","5","6",9
"Finland","Finland","3","4",5
"France","France","2","3",2
"Germany","Germany","5","3",10
"Ghana","Ghana","4","4",11
"Greece","Greece","4","1",7
"Hong Kong","Hong Kong","3","2",4
"Hungary","Hungary","5","5",6
"India","India","4","2",12
"Indonesia","Indonesia","4","2",12
"Iran","Iran","4","1",7
"Iraq","Iraq","4","2",12
"Ireland","Ireland","2","3",2
"Israel","Israel","3","3",3
"Italy","Italy","2","1",2
"Japan","Japan","3","4",5
"Jordan","Jordan","4","1",7
"Kazakhstan","Kazakhstan","1","1",1
"Kenya","Kenya","1","4",5
"Kuwait","Kuwait","5","2",8
"Latvia","Latvia","4","6",9
"Lebanon","Lebanon","2","1",2
"Lithuania","Lithuania","5","6",9
"Malaysia","Malaysia","1","1",1
"Mexico","Mexico","1","1",1
"Netherlands","Netherlands","3","3",3
"New Zealand","New Zealand","2","2",2
"Norway","Norway","3","3",3
"Oman","Oman","5","2",8
"Pakistan","Pakistan","4","4",11
"Peru","Peru","1","1",1
"Philippines","Philippines","4","2",12
"Poland","Poland","5","5",6
"Portugal","Portugal","5","3",10
"Qatar","Qatar","3","2",4
"Romania","Romania","5","1",13
"Russia","Russia","4","1",7
"Saudi Arabia","Saudi Arabia","5","2",8
"Serbia","Serbia","4","6",9
"Singapore","Singapore","3","3",3
"Slovakia","Slovakia","5","6",9
"Slovenia","Slovenia","5","6",9
"South Africa","South Africa","1","1",1
"South Korea","South Korea","3","3",3
"Spain","Spain","5","1",13
"Sri Lanka","Sri Lanka","4","4",11
"Sweden","Sweden","2","3",2
"Switzerland","Switzerland","5","3",10
"Taiwan","Taiwan","5","4",5
"Thailand","Thailand","4","4",11
"Turkey","Turkey","4","1",7
"Uganda","Uganda","1","2",4
"Ukraine","Ukraine","4","1",7
"United Arab Emirates","United Arab Emirates","3","4",5
"United Kingdom","United Kingdom","2","3",2
"United States","United States","2","1",2
"Uruguay","Uruguay","4","6",9
"Venezuela","Venezuela","4","2",12
"Vietnam","Vietnam","4","2",12
