Location,Cost of Living Index,Rent Index,Groceries Index,Restaurant Price Index,Crime Index,year,Safety Index
Switzerland,123.35,53.54,128.13,122.09,21.68,2022,78.32
Norway,100.9,34.68,97.31,105.49,33.85,2022,66.15
Israel,88.05,33.94,76.72,95.31,32.12,2022,67.88
Denmark,84.12,33.23,68.6,98.75,26.56,2022,73.44
Singapore,83.98,66.43,77.08,61.17,27.64,2022,72.36
Hong Kong,80.71,74.57,84.72,58.58,21.92,2022,78.08
Australia,77.75,36.84,77.44,72.95,43.85,2022,56.15
Japan,77.03,25.86,81.31,45.4,22.12,2022,77.88
Ireland,76.05,42.08,62.1,80.4,45.48,2022,54.52
Netherlands,75.66,36.06,65.49,76.35,27.88,2022,72.12
New Zealand,74.52,34.44,72.04,70.05,43.3,2022,56.7
France,74.13,25.33,73.64,71.84,52.41,2022,47.59
South Korea,73.22,20.02,91.95,42.1,26.49,2022,73.51
Finland,73.2,25.95,65.16,77.65,27.25,2022,72.75
Belgium,72.61,25.79,63.32,78.63,45.38,2022,54.62
Sweden,71.74,25.86,65.78,72.61,49.0,2022,51.0
Austria,71.04,27.13,65.88,66.03,26.08,2022,73.92
Canada,70.22,34.33,70.01,67.86,42.95,2022,57.05
United States,70.13,42.07,70.37,70.07,48.16,2022,51.84
United Kingdom,69.65,31.84,56.58,76.79,46.47,2022,53.53
Lebanon,69.62,24.81,66.83,54.25,46.87,2022,53.13
Puerto Rico,66.53,18.4,69.6,55.6,62.2,2022,37.8
Italy,66.47,20.55,57.95,70.58,45.2,2022,54.8
Germany,65.58,27.62,52.31,60.91,36.37,2022,63.63
Qatar,62.81,48.2,54.97,63.01,13.78,2022,86.22
Taiwan,62.35,17.69,76.19,29.42,15.87,2022,84.13
Cyprus,59.03,22.36,49.2,61.15,32.12,2022,67.88
United Arab Emirates,58.33,43.28,46.67,61.53,15.14,2022,84.86
Greece,56.22,12.68,44.73,52.19,47.41,2022,52.59
Bahrain,54.77,29.22,44.59,48.94,24.41,2022,75.59
Slovenia,53.88,17.9,47.71,46.74,22.65,2022,77.35
Spain,53.88,21.25,45.69,53.96,33.87,2022,66.13
Estonia,53.68,16.37,42.29,56.43,23.82,2022,76.18
Uruguay,52.07,13.93,44.01,49.39,51.44,2022,48.56
Saudi Arabia,50.41,11.67,42.57,35.5,24.72,2022,75.28
Oman,49.42,16.77,46.51,43.24,19.99,2022,80.01
Jordan,49.19,9.23,40.81,41.16,40.24,2022,59.76
Croatia,48.94,13.38,41.98,41.29,24.13,2022,75.87
Kuwait,48.68,31.31,35.63,47.48,33.41,2022,66.59
Latvia,48.45,11.77,38.37,42.1,38.65,2022,61.35
Portugal,47.94,20.73,39.01,40.26,30.58,2022,69.42
Costa Rica,47.01,14.7,45.54,41.69,53.86,2022,46.14
Lithuania,45.65,15.01,36.18,46.64,33.28,2022,66.72
Slovakia,44.68,16.11,39.74,36.08,30.18,2022,69.82
Chile,43.9,13.51,38.87,43.26,53.98,2022,46.02
Thailand,43.21,14.69,45.15,22.59,39.31,2022,60.69
Venezuela,43.2,9.99,37.34,46.23,83.58,2022,16.42
South Africa,42.09,16.6,34.78,41.33,76.06,2022,23.94
China,41.77,16.53,46.01,28.37,29.39,2022,70.61
Hungary,40.66,11.91,35.19,32.82,34.29,2022,65.71
Poland,38.95,14.45,32.42,33.52,29.79,2022,70.21
Bulgaria,38.38,9.07,34.02,32.44,38.74,2022,61.26
Vietnam,37.48,13.22,38.7,19.98,45.81,2022,54.19
Iran,37.39,17.05,29.46,25.18,49.11,2022,50.89
Ecuador,37.34,11.28,34.49,28.55,57.24,2022,42.76
Philippines,37.06,9.59,37.84,20.61,42.33,2022,57.67
Malaysia,37.02,9.87,39.45,20.84,55.71,2022,44.29
Serbia,36.21,8.73,28.18,29.24,38.29,2022,61.71
Ghana,36.2,19.31,37.53,30.06,46.81,2022,53.19
Indonesia,35.85,9.82,38.29,17.74,46.12,2022,53.88
Mexico,35.35,12.55,34.82,32.67,53.68,2022,46.32
Russia,35.26,13.09,29.86,34.56,39.62,2022,60.38
Romania,35.24,10.17,31.38,30.02,28.79,2022,71.21
Argentina,34.69,7.71,28.17,33.32,64.14,2022,35.86
Iraq,34.47,10.63,30.46,28.31,46.95,2022,53.05
Kenya,33.92,8.73,31.27,28.82,56.21,2022,43.79
Armenia,33.89,11.61,27.59,30.55,22.13,2022,77.87
Uganda,33.5,9.19,31.0,24.85,56.24,2022,43.76
Brazil,33.24,8.27,28.16,25.24,67.01,2022,32.99
Bangladesh,33.13,4.42,30.41,21.7,63.45,2022,36.55
Peru,32.53,11.22,30.71,21.53,67.1,2022,32.9
Sri Lanka,31.29,8.23,37.67,17.27,41.21,2022,58.79
Belarus,30.89,9.81,27.24,31.64,58.41,2022,41.59
Ukraine,30.71,10.57,26.3,25.75,46.94,2022,53.06
Egypt,29.52,5.82,27.42,23.42,46.57,2022,53.43
Kazakhstan,28.68,9.44,25.35,27.24,53.45,2022,46.55
Turkey,28.31,6.63,22.64,18.4,39.69,2022,60.31
Colombia,26.72,8.18,23.47,19.44,57.71,2022,42.29
India,24.43,5.3,26.43,17.56,44.63,2022,55.37
Pakistan,19.92,3.91,17.81,15.54,42.01,2022,57.99
