Institution,Country,City,Link,Total_score,Archaeology,Architecture,Art & Design,Classics,English Language,History,Linguistics,Modern Languages,Performing Arts,Philosophy,Theology,Computer Science,Engineering - Chemical,Engineering - Civil,Engineering - Electrical,Engineering - Mechanical,Engineering - Mineral,Engineering - Petroleum,Agriculture,Anatomy,Biological,Dentistry,Medicine,Nursing,Pharmacy,Psychology,Veterinary Science,Chemistry,Earth & Marine Sciences,Environmental Sciences,Geography,Geology,Geophysics,Materials Science,Mathematics,Physics,Accounting,Anthropology,Business,Communication,Development Studies,Economics & Econometrics,Education,Hospitality,Law,Library,Politics,Social Policy,Sociology,Sports-related Subjects,Statistics
 University of Dundee,United Kingdom,Dundee,https://www.topuniversities.com/universities/university-dundee,32.9,,,60.160000000000004,,,,,,,,,,,,,,,,,,75.0,,69.44,72.52000000000001,80.0,,,,,63.0,,,,,,,,,,,,,62.849999999999994,,58.66,,,,,,
 Western Sydney University,Australia,Milperra,https://www.topuniversities.com/universities/western-sydney-university,24.1,,54.860000000000014,,,59.220000000000006,,65.75500000000001,,,,,51.065,,,,,,,63.61,,57.175,,64.28,81.2,,67.24000000000001,,,,68.14,65.95,,,,,,,,,67.78,,,62.43,,,,,,68.125,64.815,
AGH University of Science and Technology,Poland,Krakow,https://www.topuniversities.com/universities/agh-university-science-technology,,,,,,,,,,,,,49.54,,,58.10499999999999,59.405,,55.28,,,,,,,,,,,,,,,,62.69,54.14000000000001,59.28,,,,,,,,,,,,,,,
Aalborg University,Denmark,Aalborg,https://www.topuniversities.com/universities/aalborg-university,32.8,,65.03,55.71,,,,,,,,,62.935,58.06,66.39999999999999,77.2,66.6,,71.8,,,53.75500000000001,,59.400000000000006,,,62.88,,,,73.645,,,,,59.28000000000001,,,,,69.53999999999999,,53.72,66.41,,,,,,,,
Aalto University,Finland,Espoo,https://www.topuniversities.com/universities/aalto-university,57.0,,73.64,83.9,,,,,,,,,69.0,68.955,66.12,72.7,68.55,,,,,58.03,,,,,,,63.82000000000001,,74.345,,,,76.4,65.74000000000001,70.62,67.17999999999999,,73.3,70.5,,66.12,,,,,,,,,
Aarhus University,Denmark,Aarhus,https://www.topuniversities.com/universities/aarhus-university,50.2,81.75,58.8,61.66,,72.1,67.475,58.615,67.28999999999999,,56.290000000000006,68.11999999999999,66.7,65.95,,62.285,61.754999999999995,,,73.8,,71.9,65.8,70.9,76.19,,75.2,,67.5,76.25,81.5,74.10499999999999,77.58999999999999,77.14,,62.16,67.74000000000001,64.97,79.5,64.26,80.4,,67.6,70.5,,61.68,,74.6,78.4,69.19,,71.36
Abai Kazakh National Pedagogical University,Kazakhstan,Almaty,https://www.topuniversities.com/universities/abai-kazakh-national-pedagogical-university,,,,,,,,60.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.6,,,,,,,,
Aberystwyth University,United Kingdom,Aberystwyth,https://www.topuniversities.com/universities/aberystwyth-university,,,,,,54.68000000000001,,,,,,,,,,,,,,62.50000000000001,,,,,,,,,,70.63,,68.36000000000001,72.42999999999999,71.16999999999999,,,,,,,,,,,,,,63.94,,,,
Abo Akademi University,Finland,Turku,https://www.topuniversities.com/universities/abo-akademi-university,,,,,,,,,,,,,,63.050000000000004,,,,,,,,53.75,,,,,,,53.74000000000001,,,,,,,,,,,,,,,,,,,,,,,
Abu Dhabi University,United Arab Emirates,Abu Dhabi,https://www.topuniversities.com/universities/abu-dhabi-university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adam Mickiewicz University, Poznań",Poland,Poznań,https://www.topuniversities.com/universities/adam-mickiewicz-university-poznan,,61.379999999999995,,,,59.37,,60.050000000000004,59.519999999999996,,,,,,,,,,,,,57.114999999999995,,,,,,,52.540000000000006,,,,,,,,53.6,,,,,,,,,,,,,,,
Ain Shams University ,Egypt,Cairo,https://www.topuniversities.com/universities/ain-shams-university,,,,,,,,,60.66,,,,54.529999999999994,,65.93,64.34,60.595000000000006,,,57.790000000000006,,60.05,,60.675000000000004,,70.26,,,55.400000000000006,,,,,,,,54.08,,,,,,,,,,,,,,,
Airlangga University,Indonesia,Surabaya,https://www.topuniversities.com/universities/airlangga-university,25.3,,,,,,,,,,,,,,,,,,,,,,,55.385,,,,,,,,,,,,,,62.61,,,,,60.02,,,66.88,,,,56.645,,
Aix-Marseille University,France,Marseille,https://www.topuniversities.com/universities/aix-marseille-university,,68.38,,,,54.56000000000001,62.00999999999999,,,,,,47.595,58.81,,,57.26500000000001,,,50.72,,69.965,,67.16,,64.73500000000001,66.46000000000001,,63.260000000000005,71.845,69.715,,75.27,75.0,63.47,65.80000000000001,67.26,,,,,,61.5,,,65.755,,,,,,
Ajou University ,South Korea,Suwon,https://www.topuniversities.com/universities/ajou-university,,,,,,,,,,,,,53.995000000000005,58.135000000000005,,59.43000000000001,55.120000000000005,,,,,60.945,,59.76,,66.245,,,55.78,,,,,,,54.42,,,,,,,,,,,,,,,,
Akdeniz Üniversitesi,Turkey,Antalya,https://www.topuniversities.com/universities/akdeniz-universitesi,,,,,,,,,,,,,,,,,,,,,,,,44.53,,,,,,,,,,,,,,,,,,,,,45.895,,,,,,,
Al Ain University,United Arab Emirates,"Al Ain,",https://www.topuniversities.com/universities/al-ain-university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.37500000000001,,,,,,
Al-Azhar University,Egypt,Cairo,https://www.topuniversities.com/universities/al-azhar-university,,,,,,,,,,,,,,,,,,,50.96999999999999,,,,,49.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
